step,corr,nrmse,full_batch_ev,std_ratio,bias_norm,pred_mean,target_mean,rmse,target_std
1,-0.04195118695497513,1.1199876663576547,-0.2543723727932654,0.14017662649146112,-0.47218801461961074,-1.0696316957473755,-0.6081327199935913,1.0946342945098877,0.9773628115653992
25,0.22128567099571228,1.0430483414934517,-0.08794984269224049,0.027655623891613006,-0.3153170254073454,0.19905471801757812,0.8952036499977112,2.3028156757354736,2.2077746391296387
50,0.4605814516544342,0.9749470456291438,0.0494782582190042,0.093544813604103,-0.16715605216862503,2.3230082988739014,2.8828060626983643,3.26505184173584,3.3489530086517334
75,0.5246454477310181,0.8660511005032737,0.2499554913170684,0.5456192929854594,0.15766259916171427,4.0148515701293945,3.430436849594116,3.210228443145752,3.706742525100708
100,0.6740099191665649,0.749041236042266,0.4389372267082743,0.6857074251159507,0.12335053251222132,5.330502986907959,4.834598064422607,3.011366128921509,4.020294189453125
125,0.8214051127433777,0.5777156403796495,0.6662446388607315,0.8457744694601805,-0.08870143212150156,4.816052436828613,5.185816764831543,2.4082894325256348,4.168641567230225
150,0.7174665927886963,0.7278390751907096,0.47025028062553254,0.8038388166014316,-0.19247854884398838,3.766953706741333,4.5477986335754395,2.952688455581665,4.056787490844727
175,0.7309278249740601,0.6898665520596722,0.5240841403492996,0.7414787916237215,0.10030010521781883,5.814060688018799,5.409101486206055,2.785318374633789,4.037474155426025
200,0.9332844614982605,0.36916774159632326,0.8637151785646703,0.8880302597209376,0.07250460991075285,5.902690410614014,5.592934608459473,1.5771669149398804,4.272222995758057
225,0.954635739326477,0.302214948047887,0.908666125176413,0.9503845234048155,-0.05143277030019769,4.675638675689697,4.90238094329834,1.332321286201477,4.408522129058838
250,0.8716208934783936,0.5146711835123042,0.735113572862044,0.9159695863040068,0.1504744176964871,6.032066822052002,5.3911871910095215,2.1920156478881836,4.259060382843018
