window,metric,v3_mean_non_validation,gigpo_mean_non_validation,gigpo_std_across_seeds,delta_v3_minus_gigpo,ratio_v3_over_gigpo
1-50,timing_s/step,164.027675,163.94426666666666,4.578680230168828,0.08340833333332398,1.0005087602941487
1-50,timing_s/gen,134.12815,133.33811666666665,4.7425870560597625,0.7900333333333549,1.005925037439282
1-50,timing_s/old_log_prob,4.792199999999999,4.952400000000001,0.12185350323236502,-0.16020000000000145,0.9676520474921247
1-50,timing_s/ref,4.5139249999999995,4.683624999999999,0.09513359247220061,-0.16969999999999974,0.9637673810349889
1-50,timing_s/update_actor,19.5965,20.046783333333334,0.49067246769668577,-0.4502833333333349,0.9775383748182376
1-50,perf/throughput,2308.43785,2393.2262750000004,93.3994775501001,-84.78842500000064,0.9645714966922629
1-50,perf/max_memory_allocated_gb,69.735825,70.443275,0.6772474827687895,-0.7074499999999944,0.9899571676643371
1-50,perf/cpu_memory_used_gb,344.711825,471.71213333333327,4.841281855749127,-127.0003083333333,0.7307673486456854
51-100,timing_s/step,133.343125,148.31169999999997,11.282146562212805,-14.968574999999987,0.8990735390397386
51-100,timing_s/gen,111.77929999999999,125.41744999999999,8.846082692638587,-13.638149999999996,0.8912579549337034
51-100,timing_s/old_log_prob,3.4288499999999997,3.6747833333333335,0.429042968581107,-0.24593333333333378,0.9330754194124823
51-100,timing_s/ref,3.200775,3.457141666666667,0.40645912121912364,-0.25636666666666663,0.9258443270813799
51-100,timing_s/update_actor,14.181175000000001,15.049574999999999,1.690681328759701,-0.8683999999999976,0.9422973738461055
51-100,perf/throughput,2084.8389749999997,2027.500941666667,68.60728824334304,57.33803333333276,1.0282801512714461
51-100,perf/max_memory_allocated_gb,71.001,71.21285833333333,0.8274382998984834,-0.21185833333332482,0.997024998879533
51-100,perf/cpu_memory_used_gb,371.69352499999997,517.1924333333333,4.726187037063377,-145.4989083333333,0.7186754891296747
101-150,timing_s/step,150.13510000000002,117.83679166666667,22.048035601143834,32.29830833333335,1.274093582119054
101-150,timing_s/gen,127.464325,98.9126,20.333167217473775,28.551725000000005,1.2886560963921685
101-150,timing_s/old_log_prob,3.64365,3.017533333333333,0.30773136711351934,0.6261166666666669,1.2074928749751452
101-150,timing_s/ref,3.4124749999999997,2.8348833333333334,0.29512513047669975,0.5775916666666663,1.2037444221690485
101-150,timing_s/update_actor,14.82835,12.466908333333336,1.206306401156947,2.361441666666664,1.189416782696057
101-150,perf/throughput,1942.668925,2240.483583333333,298.4236325606305,-297.8146583333332,0.8670757239424838
101-150,perf/max_memory_allocated_gb,69.96464999999998,71.3057,0.7217413987479597,-1.341050000000024,0.9811929481093373
101-150,perf/cpu_memory_used_gb,351.3088,557.8346916666666,3.622482090037006,-206.52589166666655,0.629772234047294
151-200,timing_s/step,173.19805000000002,104.16882500000001,4.524453589246989,69.02922500000001,1.6626668295432918
151-200,timing_s/gen,152.412175,86.96797500000001,4.048049588587899,65.44419999999998,1.7525091851339527
151-200,timing_s/old_log_prob,3.301025,2.7314416666666665,0.08820790387236048,0.5695833333333336,1.2085284632962447
151-200,timing_s/ref,3.1005499999999997,2.5637499999999993,0.09246196740642436,0.5368000000000004,1.2093807898586058
151-200,timing_s/update_actor,13.66585,11.350741666666666,0.3396491328889601,2.3151083333333347,1.203960974649968
151-200,perf/throughput,1583.341575,2275.4346,65.4818020807307,-692.0930250000001,0.6958413900359958
151-200,perf/max_memory_allocated_gb,73.397,71.43666666666667,0.5502873996578693,1.9603333333333381,1.0274415566235828
151-200,perf/cpu_memory_used_gb,399.47055,603.8298666666666,10.852419885566503,-204.3593166666666,0.6615614298862109
201-250,timing_s/step,189.877125,105.14583333333333,6.534671329605817,84.73129166666668,1.8058454527442047
201-250,timing_s/gen,165.30625,88.0111,6.574368173951522,77.29515,1.8782431988692336
201-250,timing_s/old_log_prob,3.9629999999999996,2.723875,0.04007116066033871,1.2391249999999996,1.4549125785874901
201-250,timing_s/ref,3.7021,2.555725,0.04032828308602623,1.1463750000000004,1.4485517808058381
201-250,timing_s/update_actor,16.1078,11.292000000000002,0.1470403615224972,4.815799999999999,1.4264789231314203
201-250,perf/throughput,1742.0652249999998,2281.576375,154.17221907839934,-539.5111500000003,0.7635357922217264
201-250,perf/max_memory_allocated_gb,73.397,71.43666666666667,0.5502873996578693,1.9603333333333381,1.0274415566235828
201-250,perf/cpu_memory_used_gb,463.52739999999994,640.6424416666666,8.125888324011417,-177.11504166666668,0.7235352668707179
